municipio,count
Abasolo,10
Acámbaro,5
Apaseo el Alto,0
Apaseo el Grande,8
Atarjea,0
Celaya,35
Comonfort,9
Coroneo,0
Cortazar,13
Cuerámaro,1
Doctor Mora,1
Dolores Hidalgo Cuna de la Independencia Nacional,10
Guanajuato,27
Guanajuato,27
Huanímaro,1
Irapuato,43
Jaral del Progreso,2
Jerécuaro,4
León,132
Manuel Doblado,1
Moroleón,4
Municipio no especificado,0
Ocampo,0
Pueblo Nuevo,0
Purísima del Rincón,9
Pénjamo,11
Romita,5
Salamanca,18
Salvatierra,4
San Diego de la Unión,2
San Felipe,2
San Francisco del Rincón,6
San José Iturbide,3
San Luis de la Paz,7
San Miguel de Allende,13
Santa Catarina,1
Santa Cruz de Juventino Rosas,12
Santiago Maravatío,0
Silao,24
Tarandacuao,0
Tarimoro,3
Tierra Blanca,0
Uriangato,6
Valle de Santiago,10
Victoria,1
Villagrán,6
Xichú,1
Yuriria,4
